,Image Name,Prediction
366,WWNP-HQ_20190219_200726.wav at 4.433761.png,2
367,WWNP-HQ_20190218_201257.wav at 9.5662.png,2
368,WWNP-HQ_20190219_191529.wav at 7.622895.png,0
369,WWNP-HQ_20190219_215105.wav at 2.479722.png,2
370,WWNP-HQ_20190219_191227.wav at 5.5457220000000005.png,2
371,WWNP-HQ_20190218_222404.wav at 3.1563369999999997.png,2
372,WWNP-HQ_20190219_202455.wav at 2.242396.png,1
373,WWNP-HQ_20190218_222404.wav at 3.901069.png,2
374,WWNP-HQ_20190219_202455.wav at 2.558792.png,1
375,WWNP-HQ_20190219_215847.wav at 5.4423330000000005.png,2
376,WWNP-HQ_20190219_221545.wav at 2.4512810000000003.png,1
377,WWNP-HQ_20190219_191133.wav at 2.166914.png,2
378,WWNP-HQ_20190219_205659.wav at 1.32087.png,1
379,WWNP-HQ_20190219_191432.wav at 3.0145720000000003.png,0
380,WWNP-HQ_20190219_192017.wav at 4.339077.png,1
381,WWNP-HQ_20190219_224025.wav at 8.953513000000001.png,1
382,WWNP-HQ_20190219_210726.wav at 3.682953.png,1
383,WWNP-HQ_20190219_191227.wav at 6.27365.png,2
384,WWNP-HQ_20190218_222404.wav at 2.95768.png,2
385,WWNP-HQ_20190219_221742.wav at 5.5229669999999995.png,2
386,WWNP-HQ_20190219_191227.wav at 8.555636999999999.png,0
387,WWNP-HQ_20190219_185242.wav at 1.24127.png,1
388,WWNP-HQ_20190219_223411.wav at 4.770562.png,1
389,WWNP-HQ_20190219_191659.wav at 1.456597.png,1
390,WWNP-HQ_20190219_191319.wav at 4.488169999999999.png,0
391,WWNP-HQ_20190219_213459.wav at 4.673851.png,2
392,WWNP-HQ_20190219_221545.wav at 2.310858.png,1
393,WWNP-HQ_20190219_183456.wav at 7.255186.png,2
394,WWNP-HQ_20190219_191147.wav at 2.795223.png,2
395,WWNP-HQ_20190219_185242.wav at 2.662499.png,1
396,WWNP-HQ_20190219_210906.wav at 3.5449660000000005.png,2
397,WWNP-HQ_20190219_185242.wav at 4.40862.png,1
398,WWNP-HQ_20190219_221742.wav at 5.227962000000001.png,2
399,WWNP-HQ_20190219_191227.wav at 11.495853.png,2
400,WWNP-HQ_20190219_191133.wav at 1.442852.png,2
401,WWNP-HQ_20190219_215847.wav at 6.701042.png,2
402,WWNP-HQ_20190219_190644.wav at 7.595173.png,2
403,WWNP-HQ_20190219_190644.wav at 2.310253.png,0
404,WWNP-HQ_20190219_191529.wav at 9.848158999999999.png,0
405,WWNP-HQ_20190219_190644.wav at 2.827958.png,0
406,WWNP-HQ_20190219_183612.wav at 4.0019730000000004.png,0
407,WWNP-HQ_20190219_221714.wav at 4.895238.png,2
408,WWNP-HQ_20190219_190518.wav at 5.773162.png,2
409,WWNP-HQ_20190219_191147.wav at 3.960695.png,1
410,WWNP-HQ_20190219_191443.wav at 0.768026.png,2
